"term","count.2013","pct.2013","count.2017","pct.2017","difference","ratio"
"ireland",426,0.0110698230387444,140,0.0550098231827112,0.0439400001439668,4.96934982521191
"behavioural",110,0.00285840501000442,36,0.0141453831041257,0.0112869780941213,4.94869798178246
"nav",1817,0.0472156536652548,593,0.233005893909627,0.185790240244372,4.93492890221473
"equip",53,0.00137723150482031,17,0.00667976424361493,0.00530253273879462,4.85013900730252
"family",436,0.0113296780396539,139,0.0546168958742633,0.0432872178346094,4.82069266956255
"apprentice",167,0.00433957851518852,53,0.0208251473477407,0.0164855688325521,4.79888709810242
"spirit",123,0.00319621651118676,39,0.0153241650294695,0.0121279485182828,4.79447026690306
"gbp",105,0.00272847750954967,33,0.0129666011787819,0.0102381236692323,4.75232107774348
"orchestration",35,0.000909492503183224,11,0.00432220039292731,0.00341270788974408,4.75232107774348
"assistant",392,0.0101863160356521,123,0.0483300589390963,0.0381437429034442,4.74460627079909
"centric",106,0.00275446300964062,33,0.0129666011787819,0.0102121381691413,4.70748786002891
"equality",241,0.00626250552191877,75,0.0294695481335953,0.0232070426116765,4.70571211960642
"supportive",328,0.00852324402983135,102,0.0400785854616896,0.0315553414318582,4.70226891561647
"inspire",303,0.00787360652755762,94,0.0369351669941061,0.0290615604665485,4.69101000473328
"square",94,0.00244263700854923,29,0.0113948919449902,0.00895225493644095,4.66499602892614
"outcome",386,0.0100304030351064,119,0.0467583497053045,0.0367279466701981,4.66166210287366
"home",1807,0.0469557986643453,554,0.217681728880157,0.170725930215812,4.63588598367188
"lock",49,0.00127328950445651,15,0.00589390962671906,0.00462062012226254,4.62888416663325
"teamcity",36,0.000935478003274173,11,0.00432220039292731,0.00338672238965314,4.62031215891727
"everything",289,0.00750980952628433,88,0.0345776031434185,0.0270677936171341,4.60432491961306
"epicor",56,0.00145518800509316,17,0.00667976424361493,0.00522457623852177,4.59031013191131
"situate",122,0.00317023101109581,37,0.0145383104125737,0.0113680794014779,4.58588360333666
"tailor",339,0.0088090845308318,102,0.0400785854616896,0.0312695009308578,4.54968791835457
"qms",40,0.00103942000363797,12,0.00471512770137525,0.00367570769773728,4.53630648330059
"standardise",107,0.00278044850973157,32,0.012573673870334,0.00979322536060242,4.52217468740246
"asic",81,0.00210482550736689,24,0.00943025540275049,0.0073254298953836,4.48030269955614
"commerce",257,0.00667827352337396,76,0.0298624754420432,0.0231842019186693,4.4715861573391
"boot",44,0.00114336200400177,13,0.00510805500982318,0.00396469300582142,4.46757456688694
"exam",61,0.0015851155055479,18,0.00707269155206287,0.00548757604651496,4.46194080324648
"yes",95,0.00246862250864018,28,0.0110019646365422,0.00853334212790206,4.45672215903216
"educational",357,0.00927682353246888,105,0.0412573673870334,0.0319805438545645,4.44735929735352
"scotland",357,0.00927682353246888,105,0.0412573673870334,0.0319805438545645,4.44735929735352
"rabbitmq",55,0.00142920250500221,16,0.00628683693516699,0.00485763443016479,4.3988426504733
"empower",141,0.00366395551282384,41,0.0161100196463654,0.0124460641335416,4.39689280887291
"researcher",69,0.0017929995062755,20,0.00785854616895874,0.00606554666268324,4.38290481478318
"diversity",374,0.00971857703401502,107,0.0420432220039293,0.0323246449699143,4.32606768015297
"inquisitive",56,0.00145518800509316,16,0.00628683693516699,0.00483164893007384,4.3202918888577
